specialist_score,specialist_cycle,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,700
0,score,,,,,701
0.36,fit,9,5,10,1,702
0.36,score,9,5,10,1,703
0.4,fit,8,4,11,2,704
0.4,score,8,4,11,2,705
0.72,score,18,2,5,0,706
0.44,fit,11,2,12,0,707
0.44,score,11,2,12,0,708
0.52,fit,12,5,7,1,709
0.52,score,12,5,7,1,710
0.48,fit,12,3,10,0,711
0.48,score,12,3,10,0,712
0.52,fit,13,3,9,0,713
0.52,score,13,3,9,0,714
0.44,fit,11,5,9,0,715
0.44,score,11,5,9,0,716
0.4,fit,10,6,9,0,717
0.4,score,10,6,9,0,718
0.52,fit,13,1,11,0,719
0.52,score,13,1,11,0,720
0.6,fit,15,1,9,0,721
0.6,score,15,1,9,0,722
0.32,fit,7,3,14,1,723
0.32,score,7,3,14,1,724
0.52,fit,11,2,10,2,725
0.52,score,11,2,10,2,726
0.4,fit,9,4,11,1,727
0.4,score,9,4,11,1,728
0.44,fit,10,3,11,1,729
0.44,score,10,3,11,1,730
0.48,fit,10,4,9,2,731
0.48,score,10,4,9,2,732
0.4,fit,9,5,10,1,733
0.4,score,9,5,10,1,734
0.56,fit,14,0,11,0,735
0.56,score,14,0,11,0,736
0.48,fit,12,6,7,0,737
0.48,score,12,6,7,0,738
0.44,fit,10,5,9,1,739
0.44,score,10,5,9,1,740
0.52,fit,10,2,10,3,741
0.52,score,10,2,10,3,742
0.44,fit,11,4,10,0,743
0.44,score,11,4,10,0,744
0.32,fit,8,4,13,0,745
0.32,score,8,4,13,0,746
0.36,fit,9,5,11,0,747
0.36,score,9,5,11,0,748
0.28,fit,7,3,15,0,749
0.28,score,7,3,15,0,750
0.44,fit,11,5,9,0,751
0.44,score,11,5,9,0,752
0.48,fit,10,5,8,2,753
0.48,score,10,5,8,2,754
0.6,fit,10,3,7,5,755
0.6,score,10,3,7,5,756
0.48,fit,10,5,8,2,757
0.48,score,10,5,8,2,758
0.4,fit,10,4,11,0,759
0.4,score,10,4,11,0,760
0.52,fit,8,2,10,5,761
0.52,score,8,2,10,5,762
0.6,fit,11,6,4,4,763
0.6,score,11,6,4,4,764
0.32,fit,7,6,11,1,765
0.32,score,7,6,11,1,766
0.44,fit,6,7,7,5,767
0.44,score,6,7,7,5,768
0.48,fit,8,4,9,4,769
0.48,score,8,4,9,4,770
0.56,fit,10,6,5,4,771
0.56,score,10,6,5,4,772
0.44,fit,7,6,8,4,773
0.44,score,7,6,8,4,774
0.4,fit,7,9,6,3,775
0.4,score,7,9,6,3,776
0.48,fit,5,4,9,7,777
0.48,score,5,4,9,7,778
0.4,fit,3,4,11,7,779
0.4,score,3,4,11,7,780
0.28,fit,4,11,7,3,781
0.28,score,4,11,7,3,782
0.32,fit,5,10,7,3,783
0.32,score,5,10,7,3,784
0.56,fit,4,11,0,10,785
0.56,score,4,11,0,10,786
0.48,fit,6,7,6,6,787
0.48,score,6,7,6,6,788
0.68,fit,3,4,4,14,789
0.68,score,3,4,4,14,790
0.56,fit,8,6,5,6,791
0.56,score,8,6,5,6,792
0.44,fit,5,6,8,6,793
0.44,score,5,6,8,6,794
0.48,fit,5,6,7,7,795
0.48,score,5,6,7,7,796
0.44,fit,5,7,7,6,797
0.44,score,5,7,7,6,798
0.68,fit,11,4,4,6,799
0.68,score,11,4,4,6,800
0.56,fit,6,7,4,8,801
0.56,score,6,7,4,8,802
0.72,score,7,4,3,11,803
0.72,score,9,1,6,9,804
0.64,fit,9,5,4,7,805
0.64,score,9,5,4,7,806
0.76,score,11,3,3,8,807
0.4,fit,5,11,4,5,808
0.4,score,5,11,4,5,809
0.44,fit,3,8,6,8,810
0.44,score,3,8,6,8,811
0.48,fit,5,4,9,7,812
0.48,score,5,4,9,7,813
0.64,fit,4,4,5,12,814
0.64,score,4,4,5,12,815
0.6,fit,5,8,2,10,816
0.6,score,5,8,2,10,817
0.64,fit,3,8,1,13,818
0.64,score,3,8,1,13,819
0.72,score,4,5,2,14,820
0.56,fit,6,10,1,8,821
0.56,score,6,10,1,8,822
0.48,fit,0,10,3,12,823
0.48,score,0,10,3,12,824
0.64,fit,3,6,3,13,825
0.64,score,3,6,3,13,826
0.76,score,6,5,1,13,827
0.56,fit,3,10,1,11,828
0.56,score,3,10,1,11,829
0.48,fit,3,12,1,9,830
0.48,score,3,12,1,9,831
0.6,fit,0,9,1,15,832
0.6,score,0,9,1,15,833
0.64,fit,4,7,2,12,834
0.64,score,4,7,2,12,835
0.72,score,6,7,0,12,836
0.64,fit,2,9,0,14,837
0.64,score,2,9,0,14,838
0.6,fit,3,8,2,12,839
0.6,score,3,8,2,12,840
0.52,fit,1,9,3,12,841
0.52,score,1,9,3,12,842
0.72,score,2,5,2,16,843
0.56,fit,3,11,0,11,844
0.56,score,3,11,0,11,845
0.68,fit,3,7,1,14,846
0.68,score,3,7,1,14,847
0.44,fit,1,13,1,10,848
0.44,score,1,13,1,10,849
0.44,fit,3,12,2,8,850
0.44,score,3,12,2,8,851
0.68,fit,5,8,0,12,852
0.68,score,5,8,0,12,853
0.68,fit,2,8,0,15,854
0.68,score,2,8,0,15,855
0.56,fit,3,11,0,11,856
0.56,score,3,11,0,11,857
0.68,fit,0,7,1,17,858
0.68,score,0,7,1,17,859
0.6,fit,0,9,1,15,860
0.6,score,0,9,1,15,861
0.44,fit,2,14,0,9,862
0.44,score,2,14,0,9,863
0.68,fit,0,8,0,17,864
0.68,score,0,8,0,17,865
0.72,score,5,7,0,13,866
0.6,fit,2,9,1,13,867
0.6,score,2,9,1,13,868
0.48,fit,1,11,2,11,869
0.48,score,1,11,2,11,870
0.6,fit,2,9,1,13,871
0.6,score,2,9,1,13,872
0.64,fit,3,9,0,13,873
0.64,score,3,9,0,13,874
0.72,score,2,7,0,16,875
0.68,fit,0,8,0,17,876
0.68,score,0,8,0,17,877
0.76,score,0,6,0,19,878
0.68,fit,3,7,1,14,879
0.68,score,3,7,1,14,880
0.6,fit,0,10,0,15,881
0.6,score,0,10,0,15,882
0.56,fit,2,11,0,12,883
0.56,score,2,11,0,12,884
0.72,score,0,6,1,18,885
0.8,score,3,5,0,17,886
0.52,fit,1,12,0,12,887
0.52,score,1,12,0,12,888
0.72,score,1,7,0,17,889
0.68,fit,0,8,0,17,890
0.68,score,0,8,0,17,891
0.68,fit,1,7,1,16,892
0.68,score,1,7,1,16,893
0.68,fit,1,8,0,16,894
0.68,score,1,8,0,16,895
0.64,fit,0,9,0,16,896
0.64,score,0,9,0,16,897
0.64,fit,2,9,0,14,898
0.64,score,2,9,0,14,899
0.48,fit,1,13,0,11,900
0.48,score,1,13,0,11,901
0.64,fit,0,9,0,16,902
0.64,score,0,9,0,16,903
0.6,fit,0,9,1,15,904
0.6,score,0,9,1,15,905
0.92,score,1,2,0,22,906
0.52,fit,0,12,0,13,907
0.52,score,0,12,0,13,908
0.6,fit,4,10,0,11,909
0.6,score,4,10,0,11,910
0.56,fit,0,11,0,14,911
0.56,score,0,11,0,14,912
0.72,score,2,7,0,16,913
0.64,fit,1,8,1,15,914
0.64,score,1,8,1,15,915
0.56,fit,1,11,0,13,916
0.56,score,1,11,0,13,917
0.72,score,2,7,0,16,918
0.72,score,0,7,0,18,919
0.48,fit,0,12,1,12,920
0.48,score,0,12,1,12,921
0.6,fit,1,10,0,14,922
0.6,score,1,10,0,14,923
0.52,fit,1,12,0,12,924
0.52,score,1,12,0,12,925
0.64,fit,0,9,0,16,926
0.64,score,0,9,0,16,927
0.64,fit,1,9,0,15,928
0.64,score,1,9,0,15,929
0.52,fit,0,12,0,13,930
0.52,score,0,12,0,13,931
0.6,fit,0,10,0,15,932
0.6,score,0,10,0,15,933
0.76,score,0,6,0,19,934
0.76,score,0,6,0,19,935
0.68,fit,1,8,0,16,936
0.68,score,1,8,0,16,937
0.76,score,0,6,0,19,938
0.56,fit,0,11,0,14,939
0.56,score,0,11,0,14,940
