specialist_score,specialist_cycle,prefit_evaluation,postfit_evaluation,cm_true_positive,cm_false_positive,cm_false_negative,cm_true_negative,gen
0,fit,,,,,,,700
0,fit,,,,,,,701
0,fit,,,,,,,702
0,fit,,,,,,,703
0,fit,,,,,,,704
0,fit,,,,,,,705
0,fit,,,,,,,706
0,fit,,,,,,,707
0,fit,,,,,,,708
0,fit,,,,,,,709
0,fit,,,,,,,710
0,fit,,,,,,,711
0,fit,,,,,,,712
0,fit,,,,,,,713
0,fit,,,,,,,714
0,fit,,,,,,,715
0,fit,,,,,,,716
0,fit,,,,,,,717
0,fit,,,,,,,718
0,fit,,,,,,,719
0,fit,,,,,,,720
0,fit,,,,,,,721
0,fit,,,,,,,722
0,fit,,,,,,,723
0,fit,,,,,,,724
0,fit,,,,,,,725
0,fit,,,,,,,726
0,fit,,,,,,,727
0,fit,,,,,,,728
0,fit,,,,,,,729
0,score,0.35,0.38,,,,,730
0,score,0.35,0.38,,,,,731
0,score,0.35,0.38,,,,,732
0,score,0.35,0.38,,,,,733
0,score,0.35,0.38,,,,,734
0,score,0.35,0.38,,,,,735
0,score,0.35,0.38,,,,,736
0,score,0.35,0.38,,,,,737
0,score,0.35,0.38,,,,,738
0,score,0.35,0.38,,,,,739
0,score,0.35,0.38,,,,,740
0,score,0.35,0.38,,,,,741
0,score,0.35,0.38,,,,,742
0,score,0.35,0.38,,,,,743
0,score,0.35,0.38,,,,,744
0,score,0.35,0.38,,,,,745
0,score,0.35,0.38,,,,,746
0,score,0.35,0.38,,,,,747
0,score,0.35,0.38,,,,,748
0,score,0.35,0.38,,,,,749
0,score,0.35,0.38,,,,,750
0,score,0.35,0.38,,,,,751
0,score,0.35,0.38,,,,,752
0,score,0.35,0.38,,,,,753
0,score,0.35,0.38,,,,,754
0,score,0.35,0.38,,,,,755
0,score,0.35,0.38,,,,,756
0,score,0.35,0.38,,,,,757
0,score,0.35,0.38,,,,,758
0,score,0.35,0.38,,,,,759
0.3453333333333333,fit,0.35,0.38,365,203,780,152,760
0.3453333333333333,fit,0.35,0.38,365,203,780,152,761
0.3453333333333333,fit,0.35,0.38,365,203,780,152,762
0.3453333333333333,fit,0.35,0.38,365,203,780,152,763
0.3453333333333333,fit,0.35,0.38,365,203,780,152,764
0.3453333333333333,fit,0.35,0.38,365,203,780,152,765
0.3453333333333333,fit,0.35,0.38,365,203,780,152,766
0.3453333333333333,fit,0.35,0.38,365,203,780,152,767
0.3453333333333333,fit,0.35,0.38,365,203,780,152,768
0.3453333333333333,fit,0.35,0.38,365,203,780,152,769
0.3453333333333333,fit,0.35,0.38,365,203,780,152,770
0.3453333333333333,fit,0.35,0.38,365,203,780,152,771
0.3453333333333333,fit,0.35,0.38,365,203,780,152,772
0.3453333333333333,fit,0.35,0.38,365,203,780,152,773
0.3453333333333333,fit,0.35,0.38,365,203,780,152,774
0.3453333333333333,fit,0.35,0.38,365,203,780,152,775
0.3453333333333333,fit,0.35,0.38,365,203,780,152,776
0.3453333333333333,fit,0.35,0.38,365,203,780,152,777
0.3453333333333333,fit,0.35,0.38,365,203,780,152,778
0.3453333333333333,fit,0.35,0.38,365,203,780,152,779
0.3453333333333333,fit,0.35,0.38,365,203,780,152,780
0.3453333333333333,fit,0.35,0.38,365,203,780,152,781
0.3453333333333333,fit,0.35,0.38,365,203,780,152,782
0.3453333333333333,fit,0.35,0.38,365,203,780,152,783
0.3453333333333333,fit,0.35,0.38,365,203,780,152,784
0.3453333333333333,fit,0.35,0.38,365,203,780,152,785
0.3453333333333333,fit,0.35,0.38,365,203,780,152,786
0.3453333333333333,fit,0.35,0.38,365,203,780,152,787
0.3453333333333333,fit,0.35,0.38,365,203,780,152,788
0.3453333333333333,fit,0.35,0.38,365,203,780,152,789
0.3453333333333333,score,0.35,0.49,365,203,780,152,790
0.3453333333333333,score,0.35,0.49,365,203,780,152,791
0.3453333333333333,score,0.35,0.49,365,203,780,152,792
0.3453333333333333,score,0.35,0.49,365,203,780,152,793
0.3453333333333333,score,0.35,0.49,365,203,780,152,794
0.3453333333333333,score,0.35,0.49,365,203,780,152,795
0.3453333333333333,score,0.35,0.49,365,203,780,152,796
0.3453333333333333,score,0.35,0.49,365,203,780,152,797
0.3453333333333333,score,0.35,0.49,365,203,780,152,798
0.3453333333333333,score,0.35,0.49,365,203,780,152,799
0.3453333333333333,score,0.35,0.49,365,203,780,152,800
0.3453333333333333,score,0.35,0.49,365,203,780,152,801
0.3453333333333333,score,0.35,0.49,365,203,780,152,802
0.3453333333333333,score,0.35,0.49,365,203,780,152,803
0.3453333333333333,score,0.35,0.49,365,203,780,152,804
0.3453333333333333,score,0.35,0.49,365,203,780,152,805
0.3453333333333333,score,0.35,0.49,365,203,780,152,806
0.3453333333333333,score,0.35,0.49,365,203,780,152,807
0.3453333333333333,score,0.35,0.49,365,203,780,152,808
0.3453333333333333,score,0.35,0.49,365,203,780,152,809
0.3453333333333333,score,0.35,0.49,365,203,780,152,810
0.3453333333333333,score,0.35,0.49,365,203,780,152,811
0.3453333333333333,score,0.35,0.49,365,203,780,152,812
0.3453333333333333,score,0.35,0.49,365,203,780,152,813
0.3453333333333333,score,0.35,0.49,365,203,780,152,814
0.3453333333333333,score,0.35,0.49,365,203,780,152,815
0.3453333333333333,score,0.35,0.49,365,203,780,152,816
0.3453333333333333,score,0.35,0.49,365,203,780,152,817
0.3453333333333333,score,0.35,0.49,365,203,780,152,818
0.3453333333333333,score,0.35,0.49,365,203,780,152,819
0.44866666666666666,fit,0.35,0.49,299,267,560,374,820
0.44866666666666666,fit,0.35,0.49,299,267,560,374,821
0.44866666666666666,fit,0.35,0.49,299,267,560,374,822
0.44866666666666666,fit,0.35,0.49,299,267,560,374,823
0.44866666666666666,fit,0.35,0.49,299,267,560,374,824
0.44866666666666666,fit,0.35,0.49,299,267,560,374,825
0.44866666666666666,fit,0.35,0.49,299,267,560,374,826
0.44866666666666666,fit,0.35,0.49,299,267,560,374,827
0.44866666666666666,fit,0.35,0.49,299,267,560,374,828
0.44866666666666666,fit,0.35,0.49,299,267,560,374,829
0.44866666666666666,fit,0.35,0.49,299,267,560,374,830
0.44866666666666666,fit,0.35,0.49,299,267,560,374,831
0.44866666666666666,fit,0.35,0.49,299,267,560,374,832
0.44866666666666666,fit,0.35,0.49,299,267,560,374,833
0.44866666666666666,fit,0.35,0.49,299,267,560,374,834
0.44866666666666666,fit,0.35,0.49,299,267,560,374,835
0.44866666666666666,fit,0.35,0.49,299,267,560,374,836
0.44866666666666666,fit,0.35,0.49,299,267,560,374,837
0.44866666666666666,fit,0.35,0.49,299,267,560,374,838
0.44866666666666666,fit,0.35,0.49,299,267,560,374,839
0.44866666666666666,fit,0.35,0.49,299,267,560,374,840
0.44866666666666666,fit,0.35,0.49,299,267,560,374,841
0.44866666666666666,fit,0.35,0.49,299,267,560,374,842
0.44866666666666666,fit,0.35,0.49,299,267,560,374,843
0.44866666666666666,fit,0.35,0.49,299,267,560,374,844
0.44866666666666666,fit,0.35,0.49,299,267,560,374,845
0.44866666666666666,fit,0.35,0.49,299,267,560,374,846
0.44866666666666666,fit,0.35,0.49,299,267,560,374,847
0.44866666666666666,fit,0.35,0.49,299,267,560,374,848
0.44866666666666666,fit,0.35,0.49,299,267,560,374,849
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,850
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,851
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,852
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,853
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,854
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,855
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,856
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,857
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,858
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,859
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,860
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,861
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,862
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,863
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,864
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,865
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,866
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,867
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,868
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,869
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,870
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,871
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,872
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,873
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,874
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,875
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,876
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,877
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,878
0.44866666666666666,score,0.48,0.6733333333333333,299,267,560,374,879
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,880
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,881
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,882
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,883
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,884
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,885
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,886
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,887
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,888
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,889
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,890
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,891
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,892
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,893
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,894
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,895
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,896
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,897
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,898
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,899
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,900
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,901
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,902
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,903
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,904
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,905
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,906
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,907
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,908
0.6653333333333333,fit,0.48,0.6733333333333333,259,277,225,739,909
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,910
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,911
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,912
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,913
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,914
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,915
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,916
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,917
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,918
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,919
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,920
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,921
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,922
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,923
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,924
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,925
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,926
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,927
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,928
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,929
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,930
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,931
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,932
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,933
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,934
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,935
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,936
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,937
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,938
0.6653333333333333,score,0.6833333333333333,0.74,259,277,225,739,939
0.7213333333333334,score,0.6833333333333333,0.74,158,362,57,923,940
0.7226666666666667,score,0.6833333333333333,0.74,160,362,54,924,941
0.7226666666666667,score,0.6833333333333333,0.74,159,363,53,925,942
0.724,score,0.6833333333333333,0.74,157,363,51,929,943
0.7206666666666667,score,0.6833333333333333,0.74,157,368,51,924,944
0.722,score,0.6833333333333333,0.74,157,366,51,926,945
0.7233333333333334,score,0.6833333333333333,0.74,156,362,53,929,946
0.7233333333333334,score,0.6833333333333333,0.74,158,365,50,927,947
0.726,score,0.6833333333333333,0.74,156,361,50,933,948
0.728,score,0.6833333333333333,0.74,156,355,51,938,949
0.7346666666666667,score,0.6833333333333333,0.74,154,344,55,947,950
0.734,score,0.6833333333333333,0.74,153,342,57,948,951
0.7313333333333333,score,0.6833333333333333,0.74,152,346,58,944,952
0.7313333333333333,score,0.6833333333333333,0.74,156,344,58,942,953
0.7333333333333333,score,0.6833333333333333,0.74,155,344,56,945,954
0.7306666666666667,score,0.6833333333333333,0.74,150,349,55,946,955
0.7253333333333334,score,0.6833333333333333,0.74,149,358,54,939,956
0.7206666666666667,score,0.6833333333333333,0.74,153,365,54,928,957
0.7193333333333334,score,0.6833333333333333,0.74,151,369,52,928,958
0.7166666666666667,score,0.6833333333333333,0.74,149,374,51,926,959
0.7186666666666667,score,0.6833333333333333,0.74,150,372,50,928,960
0.7226666666666667,score,0.6833333333333333,0.74,156,371,46,927,961
0.7253333333333334,score,0.6833333333333333,0.74,154,367,45,934,962
0.7253333333333334,score,0.6833333333333333,0.74,152,366,44,938,963
0.722,score,0.6833333333333333,0.74,151,368,50,931,964
0.726,score,0.6833333333333333,0.74,160,362,49,929,965
0.73,score,0.6833333333333333,0.74,159,359,47,935,966
0.7346666666666667,score,0.6833333333333333,0.74,160,350,48,942,967
0.7346666666666667,score,0.6833333333333333,0.74,159,350,47,944,968
0.728,score,0.6833333333333333,0.74,160,360,48,932,969
0.73,score,0.6833333333333333,0.74,161,355,50,934,970
0.7286666666666667,score,0.6833333333333333,0.74,159,354,53,934,971
0.726,score,0.6833333333333333,0.74,158,356,55,931,972
0.7286666666666667,score,0.6833333333333333,0.74,158,353,55,934,973
0.7306666666666667,score,0.6833333333333333,0.74,158,349,54,939,974
0.7226666666666667,score,0.6833333333333333,0.74,155,361,55,929,975
0.7193333333333334,score,0.6833333333333333,0.74,153,366,55,926,976
0.718,score,0.6833333333333333,0.74,157,365,58,920,977
